comment,encoded_label
i agree that a great data analyst needs to solve real problems by digging into the data its also important to connect those insights with a solid business understanding to make a real impact i have realized this for a long time that a great data analyst doesnt just analyze data but also understands the business behind it since this role is essentially about business decisionmaking strong cognitive abilities are essential if we think from a business perspective and align our data insights with business understanding or business acumen we can solve reallife problems much more effectively the laymans terms explanation being a data analyst isnt just about crunching numbers its about understanding the business like you own it lets say you run a coffee shop you can see how many coffees you sell but a great analyst figures out why sales change maybe its because you have a special deal or students come when theres free wifi its about using data to understand your customers and make smart choices like knowing when to run a promotion or offer wifi to boost sales how it solves problems real problem coffee sales are down on tuesdays basic analysis you see the numbers business understanding you remember tuesdays are when the library has study groups solution offer a student special on tuesdays to attract those customers so its not just about seeing the data but using it to understand and solve real business problems,1
course link gen ai bootcamp link,0
is your certificate hold any authority or power for jobs,0
bootcamp brochure is not opening,0
im part of ai bootcamp sir now i see mlopsllmops in job descriptionssir can we have some lectures on these topics such as env creation logging dockers dvc github actions and deployment etc although you have mentioned that interviewers dont ask much of mlops but still it would give us some advantage,0
sir in gen ai data science bootcamp genai segment is is hrs and mins and in this single genai course it is hrs and mins just wanted to understand if i take the bootcamp there might be hrs content is missing for genai topic i want to learn genai but if i go via the boot camp few genai concept might miss please guide,-1
sir what about natural language processing separate course and without covering this how can i enroll in gen ai course,0
sir i am confused should i solve leetcode and codewars in python as a data science student or should i focus on buliding project related data science like data analysis and scientific someone please help me,-1
i am getting so annoyed its always about the working employees and students cant learn anything without paying,-1
when will we get business analyst course,0
sirdoes it want math for generative ai,0
i am a lead engineer and want to learn in and out of ai which one i should opt for,0
why its double the price of deep learning course dont this course have regional discount,0
questions is this enough to crack interviews on genai and agentic ai are you also planning to add nn and crewai framework in future to the same course why langchain and langgraph is missing from this course content,0
does the ml and ai bootcamp comprises of all the content of this gen ai and agentic ai courses i have already signed up for both data analyst and data science and ml bootcamp,0
first,1
get started for free with quadratic use promo code codebasics to get off on the pro plan,1
is your certificate hold any authority or power for jobs,0
i tried creating factaggregate table in supabase and import data from csv but getting this error table factaggregate has been created but we ran into an error while inserting rows datetime field value out of range,0
hello sir i liked your video i also built something like that,1
the quadratic creates issues when uploading data in sheet from supabase can anyone know how we solve this,0
a very excellent presentation,1
is this ai good for music cover video edits,1
sir show correct india map,0
hi in your nn installation guide there is an error which you made in that you skipped typing nn to run it using the command prompt and went directly to press o to open in browser page which is leading to confusion,0
interesting supply chain concept,1
i will finish this project tonight,0
any github repository for this project,0
alpha content,0
can we label this as a data engineering project when making a portfolio or while sharing it on linkedin,0
i watch your videos at speed try it you might like it,0
aapsa contact kaisa kara number kaha hai,0
amazing,1
amazing video demo loved it,1
whn wil strt,0
row level security,0
row level security,0
row level security,0
row level security,0
row level security,0
this is expensive joins to use so avoid using it if possible,-1
need more videos like this,1
google can use opencv to identify the dress is fit,1
grabhack is live and giving interview opportunity to tech domain professionals can you make a video on it,1
it seems dhaval is more tensed than being excited seeing all these ai things my opinion it seems more dangerous than feasible,1
we want more videos like this thanks,1
tech sector is crashing does mba is worth in,1
thank you sir,0
wow you are so fast,1
is learning excel important before learning power bi please do reply itd be helpful to masses,1
i am doing data analytics bootcamp can i also ho for this toolkit,0
sir could you please make the course validity lifetime instead of one year,0
if i buy python course first and later ai boot camp course which is higher priced will it deduct python course price from the total price,1
good afternoon sir i hope youre doing well i just had a small request i am currently preparing for business analyst interviews have over years of experience in the field i would really appreciate your guidance on how to prepare effectively based on todays market expectations it would be very helpful to understand how to approach both hr and technical interview rounds and how to present my profile in the best way possible if you could make a detailed video on this topic i believe it would help many people especially those actively preparing for business analyst data analyst power bi developer roles by giving them a better understanding of realtime market requirements,1
should we buy the tools or do you have it free for us,1
dhavalsir i believe you are very genuine and authenticplease keep us updated on development and make course on agents only,1
please create topls to be used by software engineer,0
if i complete this course will i be able to build ai agents on my own,1
only hours,0
course looks awesome,1
sir ai tools is free or we can pay money,1
how to get this course free,1
need data engineering course in code basics,0
course link as per youtube policy links are not clickable you can copy paste it in the browser and use them,0
can we get contact number to talk,0
generative ai extension,0
generative ai prompt engineering,0
guess whats coming to you soon clue its useful for every professional,1
learn ai engineering and data science in a most intuitive way through this bootcamp,1
was copilot left out on purpose otherwise great video,1
really liked the step by step agentic ai explanation,1
loved the session how to learn complete course,1
excellent,1
love the stochastic parrot,1
although i understand the comparison wouldnt agentic ai generally still be considered a subset of generative ai,0
very informative well explained for beginners keep posting more such videostutorials,1
thank you so much it was a great tutorial with great explanations,1
very good and informative video pls bring more such contents on ai with easy explanations,1
great video i have one question when i want to create a system which take all code typescript file of angular code then generate unit test case and save in another folder or create new file type so should be use rag when i take fetch leave and apply and same time should be send mail so for this agent needed so i want to confirm tool augmented bot could be a agent,1
hindi video sir,0
nicely and simply explained the ai tools and techniques big kudos for your hard work looking forward for many such videos,1
sir i want to learn ai to deal with image data like facial recognzing app locks please guide me how much mldland cv i need to uderstand,0
one of the excellent explanations visually hardwork and kudos,1
great sessionthanks a lot please continue to educate us,1
therotical,0
sir i think u covered everything for beinger to understnad the whole ai sysmtem till date,1
imagine ignoring the one project that combines ai blockchain and elons influence while others are panicking xaih holders are preparing yachts,0
hii sir i want to become data scientist and ai engineering too can i do sir i dont about the basic please sir help me i want to talk with you sir please,0
great your videos dear guy pls could you translate to spanish as well,1
strange how dhaval sir always comes up with an easiest explanation of most complex topics,0
excellent learning content easy to understand thanks gurudev for this amazing study material sir i admire your and codebasics teams hard work to create this video so that we can learn something that is happening in real time,1
hi sir is the ai tool kit course covered in da bootcamp or do i need to purchase it separately,0
grabhack is live and giving interview opportunity to tech domain professionals can you make a video on it,1
great video to cover basis to advanced thank you so much sir your are really great top quality teaching,1
our college teaching this ai basics topic right now i want to thank you sir from your previous machine learning playlist i have learnt a lot and now i am very confident on what i have learn and i can teach to anybody,1
great video in such simple language for a beginner like me to understand the concepts of ai thank you very much,1
hi dhaval as usual great content can you help me with below question like years back in your video i guess you are and your guests told future of ai will be around nlp and today we can see how relevant it is llms genai etc can you again suggest your view on what skill should one move towards so that he could have some advantage in future like for next years currently i am working towards time series forecasting along with mlops,1
hello sir excited for the unique project on ai with your guidance which help us to know more about ai practical application in real world,1
great and perfect timing in our technical college i am going to graduate in ai and data science in weeks now i got the perfect starting point for learning the fundamentals,1
that video of yours really nailed the animation explanation of neural networks i agree its likely the most awesome explanation that we can find online,1
great video to understand the heavy terminology of the ai world thank you dhaval sir,1
hi dhaval this is an excellent initiative i greatly respect the efforts made to consistently present quality content i really appreciate your teaching style its about time you took an interest in artificial intelligence all the best,1
great job,1
thank you sir,0
hi i am very much confused about what to learn nn or langchain to build ai agents can you tell me which one is the best one for learning and for future sake also if langchain what are all the basic need to learn in python to start your langchain playlist if nn is the answer please make a video on it can you please clear my doubt,1
full video link as per theyoutube policy the link is not clickable you can copy paste it in the browser and use it,1
thankyou so much it is very helpful,1
im average in mathematics which career should i choose architecture civil engineer data engineer data science automobile engineer it or any oder career,-1
please tell me sir,0
sir data analyst is good carrier for future,1
sir one day i learn all of this and joining your company,0
all the data insights you could want without confirming the results independently or understanding the source data in the first place its like magic,1
krishnaik is the best,1
do you have a course on gen ai engineer,0
thank you very much for this i wanted a perfect roadmap to start and end with for genai i am a data engineer by profession and i would want to see if i can build gen ai for data engineering use cases,1
thankyou sir,0
what a great analogy,1
as a sarting a data analyst journey this is really helpful,1
yep thats the reality,0
im average in mathematics which career should i choose architecture civil engineer data engineer data science automobile engineer it or any oder career,-1
sir can we also do dsa with python,0
eye opening valuable tips sir,0
thanks sir,1
good tips thanks for sharing,1
can a b com graduate became data analyst,0
what if if there is any tool which directly makes the pivot table and associated chart so that you know that data makes sense or not,0
sir data analyst is good carrier for future,1
can a b com graduate became data analyst,0
mcp is like a software,0
is there any cost involved are there any open source versions,0
participation link as per youtubes policy the link is not clickable you can copy and paste it into the browser to use it,0
if you talk about the socio economic impact of tournaments like ipl socially it makes the audience active and stay hopeful which obviously cant be quantified or measured at least in general fields of science the economic side especially related to pan masala and betting app are smart due to the mass adoption and ease of use flipside of these are generally not talked about economy wise these tournaments play a good amount of role more leagues like fih and pkl are on the same lines of ipl which is more of a replica of english premier league which obviously has a huge amount of data to play with ipl thrives on the popularity of cricket in india,1
im average in mathematics which career should i choose architecture civil engineer data engineer data science automobile engineer it or any oder career,-1
true no one can master in a week,1
sir we will accept all the things you said about demand and supply in this video but what do you have to say about this,0
sir we will accept all the things you said about demand and supply in this video but what do you have to say about this,0
sir please check this short about data analyst,0
sir please check this short about data analyst,0
i had invested in another course fake gurus before discovering codebasics but it didnt yield the desired results thank you codebasics team dhaval patel and hemanand sir for providing an exceptional data analyst bootcamp that has made a significant difference,1
thala for a reason,0
thank you sir hemanad for citing ms dhoni as an example,0
learn ai engineering and data science in a most intuitive way through this bootcamp,1
fabulous information,1
thank you dhaval that was super easy and simple way to understand the basics,1
hi is there any video on where you have showcased goal oriented planning and multistep reasoning,0
do you think there will be mass layoffs due to agentic ai andor gen ai,-1
what happens if sarahs backup also needs to go on leave and no additional backups are available how would the agentic ai system respond in such a scenario would it initiate a oneonone with sarah to discuss postponing her leave suggest hiring a contract resource or end up stuck this situation goes beyond simply making api calls or handling errors even if the system is capable of taking autonomous actions how would those actions align with broader management directives and policies,1
thanks sir very well explained i love it,1
best explanation ive heard thanks bro,1
very well explained simple no frills yet effective,1
hello brother why dont you make a free agent ai course in codecamp this video is so impressive,1
really appreciative thanks for making it so clear however anthropic indicates multiple workflows that invoke prompt chaining a handoff to a specialized agent for tasks requiring specialized expertise future agentic ai needs beyond reasoning with objectlevel heuristics a metacognitive strategy would boost objectlevel strategiesas proposed by yoshua bengio,1
great explanationsimple and short thank you for sharing,1
love the video anyway just tried arrynais today super impressed with their full digital marketing team easy to use and definitely worth a shot,1
really nice explanation with real time example keep up your good work,1
only challenge i see for your course is dicord supportplease have a weekly or monthly twice live doubt session,0
nicely explained with simple examples thanks for the quick intro,1
excellent,1
thats how future will be no secrets no privacy,0
thank you this is very well explained few questions how is that agent making the plan and executing different options is that using a llm to do that do i have to train that llm to do that planning and the associated workflow how does it know that to write an email it must make an api call to outlook,0
always come with deep n accurate discription its awesome as usual sir,1
sir can you show or help us do a project based on data analytics using the same agentic ai i wish i could feed some ideas but you are much more experienced and i have full trust that you will come with the best thanks for this vids as well,1
super insightful ive been diving into agentic ai lately and how it differs from traditional generative models i recently shared a breakdown video explaining how these concepts are evolving really exciting times for ai,0
great overview thank you for sharing,1
very good video on helping break it all down,1
thanks for another great video how can i contact you for a specific help in a research project please,1
will the example work if i use model from google modelgeminiidgeminiflash,0
very well explained with the right examples simple to understand thank you,1
excellent,1
awesome video well explained the fundamental and the agentic ai system integration and the tools,1
hi this ai session was truly eyeopening before watching this video i wasnt clear on how to use ai effectively now i have a much better understanding of how it works please continue sharing more videos on aiyour explanations are incredibly clear and insightful,1
unassuming and simple narration thanks,0
my favourite channel of all time thank you for making everything so simple really,0
agentic ai get access to almost all privacy data just to plan a leave,0
i recently found this channel thank you so much for this wonderful content im working as automation test engineer can you please suggest some projects to do in automation areas with agents,1
am recent follower of your channel thank you for the wonderful content making it easy to understand the concepts i have years of experience as functional ba in banking now i want to get into data science with ai upskill myself is it correct i am willing to learn,1
very well presented thank you,1
hello sir i have almost completed your machine learning course now should i learn nlp or deep learning after machine learning and when will you release a seperate course on nlp if go for nlp first and then deep learning will that be ok for me please shed some light on this,1
i can relate this very simple but powerful video,1
great video how can i get in touch with you i might have some work for you,1
also make interview process videos,0
good video tutorial actually this should be an introduction to someone coming in new to ai from conventional programming world,1
its like master slaves combination with intelligent planning,1
does this mean if you like to create travel assistant agentic ai i have to learn how to code,-1
sir can we expect a premium course on generative ai and agentic ai anytime soon thank you,0
can you please make more and more roadmap videos on different ai related job roles please sir please reply,1
thanks can you share the code using agno dont see the link in the video description,1
jarvis jerk it a little,-1
thanks for the explaination i was very confused between ragagentic ai ai agents,-1
very good video one thing i am still not clear on is the difference between agentic ai and ai agents,1
sir i want to become a business analyst what can i learn please give me a roadmap for becoming a business analyst would taking both your data analyst da and data scientist ds courses be sufficient or are there any other helpful additions,1
will there be a self paced course on this available on,1
make a video on data drift and related topics,0
very helpful,1
do you have any course specific to generative ai alone from gen ai basics to agentic ai,0
very good video explaining in simple terms good work thanks,1
in simple words agents perform tasks on your behalf after a multi step reasoning,0
can you please create a playlist for agentic ai it will be useful for everyone,1
great explanation,1
when applying for data roles how much proficiency in dsa topics required for top product based companies anyone who can shed some light on this or have attended interview process so can share his experience,1
is this the same as function calling like in vertex ai,0
hello sir i am a second year bsc student if i am taking data analytics bootcamp now will i get bootcamp for free next year,1
sir please upload course on nlp and gen ai,0
very informative thanks,1
te sigo desde que hacias videos de pandas excelente como siempre,0
everyone is pushing agentic ai definition forward in their own way this definition will also expire soon,1
please also make video on evaluation of agentic application,0
sir pls make videos on llmops and llm evaluation,0
great example what is data analyst do in office,1
yes,0
sir start classes on a ml learning sir we will support you sir,0
yes sir,0
yes,0
yes sir,0
yes and how to get internship in this field,0
how ml can be helpful in academia or research area,0
yes,0
yes,0
these are some of great project ideas to as you can try and make ml project based on this topic which can help you boost your portfolio and improve your skills as well,1
good in coding average in math intresting in python,1
very helpful aap jis tarah ek student ke pov se soch kr questions ke answer krte h that commendable thank you,1
very interesting thank you,1
mlops engineer without maths how is it possible,0
thanks man,1
thanks,1
i do this,0
thanks,1
take below suitability tests to know which role suits you the best data analyst suitability test data science suitability test as per youtube policy the links are not clickable you can copy paste it in the browser and use it,1
yes the robotic voice was absolutely necessary it enhanced the experience,0
have interest and good at coding but maths is not that perfect,1
voice not clear and low,0
please change ur editing style its too irritating and distracting keeps us away from the content,-1
quick question will the data scientist role be dead because of the gen ai boom and more companies hiring ai engineers who are experts in langchain and langgraph,1
this really helps me,1
sir why your audio is not good,-1
sir please do bank analytics project for a data analystplease sir please,0
future scope of data analytics,0
data analytics course krna chahiye ya nhi,0
sir mam give advice what can i do after gseb im in pcm learning ml doing projects of linear regression and built gradient descent from scratch,0
really well explained this video just ignited my mind with so many more ideas on how mcp servers could be used,1
how can i deploy the mcp server to azure how to have a mcp client access this remotely deployed mcp server is it possible,0
worst video llm should not use tools which you coded it should give you output from data you feeded without using the tools,-1
what is mcp here could you explain please,0
i was searching for simple use case i think its enough now thanks,0
superb demonstration sir how we can use mcp with custom llm model which is build and create inhouse,1
great explanation,1
nice to see such nice information,1
so can i use the available server on github for mcp with my any llm model if yes can you give a demo,1
after running the cmd uv run mcp install mainpy im unable to find the leave manager in the developer settings but when i directly clicked on edit config it showed the json file but it does not get reflected in my claude desktop what to do sir,-1
i tried incresing the complexity of the mcp tools for example i created a parsing tool for pdf and added pypdf or other similar packages in the setup but it does not work and claude desktop gives error that no module found it happens anytime i add other dependencies is it the case that adding other dependencies does not work,0
hi i am getting below error in claude log this is while adding local python mcp server tz leavemanager info server transport closed tz leavemanager info client transport closed tz leavemanager info server transport closed unexpectedly this is likely due to the process exiting early if you are developing this mcp server you can add output to stderr ie consoleerror in javascript print filesysstderr in python and it will appear in this log tz leavemanager error server disconnected for troubleshooting guidance please visit our debugging documentation contextconnection tz leavemanager info client transport closed tz leavemanager info initializing server tz leavemanager info server started and connected successfully tz leavemanager info message from client methodinitializeparamsprotocolversioncapabilitiesclientinfonameclaudeaiversionjsonrpcid failed to fetch request failed after retries error sending request for url client error connect invalid peer certificate unknownissuer help consider enabling use of system tls certificates with the nativetls commandline flag tz leavemanager info server transport closed,0
one of interesting cases of applying mcp is to connect voice ai like minimax or elevenlabs to your call or your voice agent so it can automatically answer questions for you instead of just machine talking,1
after creating the mcp server how do i host it and connect a client to it on azure or any other platform,-1
straight to the point i love it,1
crisp,1
thanks wonderful explanation on mcp,1
sir could you please create a tutorial on how to make an mcp client using geminisdk would be great,1
sir i am planning to take your data science and ai bootcamp in this summer vacation is it contain any projects if it is how many project it has is it compulsory to do virtual internship or it is optional,1
nn full course video in english end to end for developers,1
exactly what i was looking for beautiful thanks,1
i am having trouble getting uv on my m error message error command failed mkdir p usersuserprofilelocalbin,-1
this is good basic exercise for local machine what about server side like building real enterprise use case what are the security concerns because i think the contextual data is being sent to llm for generating final responseoutput right,1
tq bro ill implement fr my employees management system,-1
so far it can help us to run locally right is there anyway to make it accessible and work for everyone,1
the way you explain the things is just wow,0
iam about to create a excel dashboard project can you give me some ideaon which topic i can do that and i will be uploading it on github,0
please make a tutorial on omnimind python library to make mcp architecture with custom clients and servers i will also pay for that,0
yukta jee ko pranam,0
hi sir is there a limitation of using this in claude,0
when you add leave for e will it add on the existing codebase i mean on the dictionary,-1
making more complicated videosmake it simple do practice before delivered,0
need more videos like this plz,1
error spawn uv enoent with claude solution change command from uv to absolutepathtouv mcpservers leavemanager command usersallenkimlocalbinuv args,0
how to copy and paste lol,1
wow just copied pasted the mcp docs from its official website,0
can you please integrate with database so that it can fetch all the employees leave from the database withoout giving manually in code,0
not a great video,-1
sir can u pls make videos on llmops and llm evaluation,0
awesome video,1
great video sir,1
very nice,1
ver well explained,0
sir please start langraph sessions,0
cool,1
great work sirji loved the video,1
so conceptually everything is held together because of the doc string as thats the only way llm maps input query to the correct tool rightisnt that a very bad architecture,-1
wonderful explanation,1
sir mam give advice what can i do after gseb im in pcm learning ml doing projects of linear regression and built gradient descent from scratch,0
sir i wants to do data science but my parents dont give me permission for this so sir give me advice how to start my study and from where i starts my education sir plese give me advice this is my dream job,1
what is the role of orchestrators if agent can directly talk to agent using this protocol,0
isnt the mcp itself capable of handling the agent to agent communication,1
sirrrrr can i have your old desktop,0
the key will be on the infrastructure to allow those agents to communicate with each other we need pp systems for multi agent systems,0
what is your opinion on adk vs langgraph for creating custom agents,0
i want to know how you stay updated with every latest development from google especially in the field of large language models llms,1
sir can we expect data engineer in your course,0
sir mein computer science background se nhi hu kya mein ai or project management mein career bana sakta hu kya,0
great and simple explanation thank you,1
need small clarification the car repair guy is like the llm which gets the command to repair the tyre via a chant agent the various tools the specific llm has are mcps stored in some server does that llm automatically selects the right mcp or the llm needs to be pointed towards a specific mcp tool manually by the user in the chat agent,0
sir in gen ai road map you said we can take you data science course my doubt is can i take youre deep learningmachine learning and math course seperatley both are same,0
its like a marketplace for agents,0
well this one big step for ai and one big kick in the balls to the human agency,0
informative video waiting for endend projects using these tools would help more to understand,1
woah,0
thanks for the great video,1
hindi video continue sir,0
if you can make a tutorial in this,0
thank you so much for explaining the concepts in such a simple and easy to understand way appreciate your efforts,1
why things are moving so fast,1
video link according to youtubes policy the link is not clickable you can copy and paste it into your browser to use it or you can simply click the link above the shorts title,0
data scientist road map please,0
i need data scientist road map for freshers,0
mca chose good specifications,1
eagerly waiting,0
sir is back with new realistic and goat roadmap,1
is this roadmap ok to follow for a nontech person like myself i am a ca working in tax field but have interest in learning genai,1
awesome to the point being a tech lead with more than a decade of experience this is exactly what i was looking best part of this road map is it tell what to learn and how much to learn,1
none of you have months to learn this it is too late,-1
gen ai bootcamp,0
also make interview process videos,0
absolutely brilliant roadmap the way you broke down the learning path weekbyweek with practical resources and realworld advice makes this the most actionable guide ive seen for aspiring ai engineers thank you for making such complex topics so approachable and motivatingsubscribed for more,1
im yr olad,0
im just beginning my journey in generative ai and this roadmap feels truly meaningful i plan to follow it with dedication and im confident that it will help me grow into a capable and skilled person in this field,1
sir i am a fresher and last month i have joined one company working as a backend developer and i want to become a gen ai eng for that i am going to follow your guidance from today thanks for sharing,0
i started my career as test engineer n worked for yrs after years gap i want to restart my professional career by learning ml is this possible for me to become an ai ml engineer after career gap,0
sir i am looking for gen ai course only i dont want python or other modules like resume writing or even interview help is it possible to enroll or buy only gen ai module,0
ai is such a powerful tool for tackling complex problems especially when it comes to data analysis and decisionmaking the potential is enormous in fields like healthcare marketing and more if youre looking to dive deeper into ai genai offers some excellent resources for learning how to apply these technologies,1
finally i found the great video for ai thanks,1
previously i saw a video which had the roadmap to become a ml and ai engineer could you pls tell the difference between that videocareer and this videocareer which one is more suggested to learn,1
leaving this comment for the all fellow who are starting on this roadmap we can check in here and keep each other motivated lest go,0
is it possible to get a job as an ai and ml engineer without any tech degree,0
some link are not working,0
great work sir some links in that pdf are not working can u please update that,1
please make a short video on different between ai and gen ai engineer role,0
sir what is different between ai engineer and gen ai engineer,0
hello sir ive just started learning programing and your guidance would mean a lot even a bit of advice now and then would help me a ton please sir,-1
this is the best deep strategy video ive ever watched on genai by the im years old in classth just gave the board exams waiting for the results i thought that degree or cracking entrance would give u a job but this is typical indian mindset,1
what about mlops,0
i am software engineer with yrs of experience searching for good roadmap of genai finally found iti am aware of few concepts like python some ml part but will start this today by unlearning everything and follow the roadmap step by stepthank you for breaking myth that langchain is genai,1
one question what is the difference between your courses that you recently posted one on ai engineer and gen ai engineer,0
very effective and motivational video thanks for sharing the roadmap pdf as well,1
hello sir im having years of experience as full stack enginner and im confused weather i go for ai or genai enginner role could you please suggest,0
sir can you please make the gen ai course in hindi because on the market there is already several course which is english and its difficult to understand the complex concepts in english i hope u understand what im trying to say,-1
my doubt is can i take youre deep learningmachine learning and math course seperatley both are same,0
do you have any genai live classes,1
please reduce the base in you voice its hurts when it comes from earphone,-1
sir can you provide us with the roadmap for a cloud engineer,0
being a mainframe developer with years of experience now i want to become gen ai engineer and it really helps me to achieve but im not sure whether im right person to start now but thanks is very least expression for this content,0
sir i am starting my college this year and i am interested in gen ai so what should i do rn like should i learn full stack web dev dsa in first years of college and get a internship and then spend last years in learning gen ai do companies recruit fresh grads from college who has no experience in this field sir i am very passionate please suggest me how can i become gen ai dev in this years of college,1
love your content its always valuable and simplifies complex topics but can u give us a roadmap for actual projects or systems to build instead of courses,0
very effective video great knowledge i will try to implement this road map hope so it turned out to be successful fo rme,1
is codebasics going to make the existing genai course comprehensive since it shows more content to be uploaded or is it gonna launch a new course either way if announced and launched asap well b happy expecting a reply thanks for ur efforts,1
as a rd computer engineering student who is on week of this i can confirm that week to are absolutely essential and perfectly crafted what i like about dhaval is that hes honest about these things there is no shortcut to learning this and you cant skip fundamental principles and logic ps shared this with my cousin who finished her grade and will highly recommend this roadmap to everyone,1
hi i am a mern stack developer passed out in looking for first job i have fully prepared dsa using c now i am interested in gen ai in gen ai again i have to learn backend using python can i start gen ai,1
have you ever used nn please i would love a video on this platform thank you,1
pls available it asap,1
thank you sir,0
i m working in a pharma companywe dont want to use paid embeddings model using api due to data privacy which model would you suggest,-1
hi recently i am following your ai engineering roadmap i already in the eda week can you pls tell me which should i follow now,0
sir please launch a genai course,0
after th,0
hi im considering enrolling in iit roorkees pg program in gen ai agentic ai and ml futurense i have years of experience and currently i am mulesoft developer i am studying mlai for the last years created projects on it but not getting any interview call due to experience could you please tell me whether the program is worth the investment of time and money,0
thank you sir,0
sir please upload a separate course on nlp and gen ai,0
nice roadmap for me thank you sir,1
i,0
sir please make a video on data scientist roadmap again in,0
watched,0
is code basics launching gen ai course,0
sir i am a b pharm graduate can i get a job in ai or ml field,0
waiting,0
video link according to youtubes policy the link is not clickable you can copy and paste it into your browser to use it or you can simply click the link above the shorts title,0
thank you for this video and just met some cools chinese ai tools like manus ai deepseek and powerdrill ai etc these ai tools are so amazing and hope will have more these powerful tools in the future,1
sir may i know what is difference between ai agents and agentic ai please,0
sir im years old completed my graduation degree in microbiology hons in now im just started the journey of learning data analytics i have almost years of career gap please sir also anyone in thr comment section should i learn data analytics is there any chance for me to get a job or they reject me is this possible for me to get a job,0
